,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
16,11,67,0.5196029088876658,True,False,True,[61],[0.47651008],56,74,13.444064140319824,20.651792526245117,-1,-1,-1.0,-1.0,25.52355194091797,-1.0
17,11,70,0.29998779296875,True,False,True,[94],[0.7],45,60,9.781373023986816,14.81908893585205,63,76,9.746184349060059,14.567654609680176,18.314912796020508,23.576974608784802
18,11,103,0.29998779296875,True,True,True,[115],[0.34615386],11,11,3.305218458175659,3.305218458175659,-1,-1,-1.0,-1.0,4.084919452667236,-1.0
19,12,66,0.29998779296875,True,True,True,[66],[0.67391306],65,65,17.836225509643555,17.836225509643555,74,89,17.19967269897461,20.924802780151367,22.043792724609375,21.299635538618418
20,12,103,0.29998779296875,True,False,True,[90 19],[0.8129032  0.00339789],127,145,26.685544967651367,30.422298431396484,114,136,25.322160720825195,29.949871063232422,37.59891891479492,33.355625567621836
21,12,130,0.29998779296875,True,True,True,[157],[0.8613861],152,181,32.735992431640625,41.18764114379883,163,195,35.483543395996094,44.60828399658203,50.90380859375,51.35454097714248
22,12,132,0.2999267578125,True,True,True,[147   3],[0.26086956 0.00073421],8,8,3.269540309906006,3.269540309906006,-1,-1,-1.0,-1.0,4.040824890136719,-1.0
23,13,27,0.29998779296875,True,True,True,[74],[0.71707314],167,167,34.49470520019531,34.49470520019531,185,185,42.87095642089844,42.87095642089844,42.63200759887695,49.051959452692714
24,13,29,0.29998779296875,True,False,True,[84],[0.8552632],136,136,27.698932647705078,27.698932647705078,146,146,34.301910400390625,34.301910400390625,34.23311233520508,38.46289822637942
25,14,57,0.29998779296875,True,True,True,[98],[0.8],50,52,7.63510799407959,8.316490173339844,56,56,10.612672805786133,10.612672805786133,10.278350830078125,16.21628649856095
26,14,98,0.29998779296875,True,False,True,[96  5],[0.75268817 0.00529101],62,80,26.561737060546875,34.27070617675781,69,83,20.70442771911621,25.452653884887695,42.355167388916016,33.05657721638933
27,15,9,0.29998779296875,True,False,False,[],[],84,104,18.24425506591797,26.55074691772461,-1,-1,-1.0,-1.0,32.81406784057617,-1.0
28,16,31,0.3000030517578125,False,True,True,[32 30],[0.8121212  0.00401204],147,147,29.97433090209961,29.97433090209961,141,152,26.45260238647461,29.939472198486328,37.0452766418457,36.274898083231115
29,16,35,0.2999267578125,True,False,True,[78],[0.91156465],104,142,30.501705169677734,41.62220001220703,100,139,29.904428482055664,39.405853271484375,51.440879821777344,45.28177074715256
30,16,108,0.29998779296875,True,True,True,[47],[0.5958904],101,101,24.784717559814453,24.784717559814453,132,132,22.429088592529297,22.429088592529297,30.631433486938477,36.74571404718692
31,17,24,inf,False,False,True,[71 72],[0.73913044 0.08219178],60,60,25.263957977294922,25.263957977294922,0,60,0.0,19.687273025512695,31.223726272583008,29.094022465185468
32,17,71,0.2999267578125,True,False,True,[46 15],[0.9433962 0.00625  ],51,51,14.08129596710205,14.08129596710205,52,52,11.238077163696289,11.238077163696289,17.403074264526367,20.713131555912625
33,18,4,0.9486736475940446,True,True,True,[63],[0.7358491],72,179,14.531478881835938,44.841278076171875,64,189,14.567239761352539,43.3196907043457,55.41933822631836,50.9812711759048
34,18,12,0.29998779296875,True,False,True,[50],[0.2857143],6,6,1.608910083770752,1.608910083770752,-1,-1,-1.0,-1.0,1.9884520769119263,-1.0
35,18,37,0.29998779296875,True,True,True,[61],[0.63380283],54,54,12.93811321258545,12.93811321258545,62,62,12.580289840698242,12.580289840698242,15.990214347839355,17.223432048594702
36,19,23,0.29998779296875,True,False,True,[56],[0.6503497],105,105,22.262292861938477,22.262292861938477,116,131,25.536727905273438,29.98088836669922,27.51396942138672,36.634138228494585
37,19,25,inf,False,False,True,[91],[0.67741936],68,68,17.205291748046875,17.205291748046875,88,88,21.45269012451172,21.45269012451172,21.264020919799805,22.275702221206675
38,19,97,0.29998779296875,True,False,True,[101],[0.8429752],111,111,28.05768394470215,28.05768394470215,112,112,20.523509979248047,20.523509979248047,34.67649459838867,22.456631724045646
39,20,19,0.3000030517578125,True,False,True,[37],[0.7804878],58,67,29.316606521606445,34.888511657714844,68,79,31.317249298095703,34.92927932739258,43.11871337890625,44.83785720523695
40,21,65,0.29998779296875,True,False,True,[51 19],[0.8701299  0.00109689],214,214,49.210716247558594,49.210716247558594,218,218,40.237022399902344,40.237022399902344,60.81952667236328,43.04325162747457
41,22,84,0.9486639988065007,True,True,True,[86],[0.82978725],105,129,31.975269317626953,38.23866271972656,105,129,30.7042293548584,37.11372756958008,47.2591667175293,41.63604382550533
42,23,37,0.3000030517578125,True,False,True,[62],[0.852459],56,56,17.854183197021484,17.854183197021484,57,57,17.29178237915039,17.29178237915039,22.06598663330078,21.095817246489915
43,23,66,0.300018310546875,True,False,True,[58],[0.88372093],96,118,24.719980239868164,33.69564437866211,102,125,18.397201538085938,24.396879196166992,41.644447326660156,29.53001825046906
44,23,74,0.5999755859375,True,True,True,[25],[0.8],78,98,15.128110885620117,20.631614685058594,81,109,19.71326446533203,29.462244033813477,25.498613357543945,36.4594546078586
45,24,33,0.2999267578125,True,True,True,[47 36],[7.8443116e-01 5.5555557e-04],129,151,30.986770629882812,36.33141326904297,123,147,26.53227424621582,31.56536865234375,44.90199661254883,42.651040963882856
46,24,107,0.29998779296875,True,False,True,[86],[0.6684492],139,145,38.75853729248047,41.50563049316406,144,167,31.04721450805664,35.83797836303711,51.296810150146484,42.40312476110576
47,24,136,0.29998779296875,True,False,True,[52],[0.859375],60,60,15.296568870544434,15.296568870544434,59,59,16.244247436523438,16.244247436523438,18.905029296875,33.449782649147366
48,24,138,0.29998779296875,True,True,True,[109],[0.83597887],170,170,36.060176849365234,36.060176849365234,177,177,29.778663635253906,29.778663635253906,44.5667724609375,30.414220374744605
49,25,22,0.5999908447265625,True,False,True,[81],[0.83870965],81,138,23.53069305419922,36.83182144165039,86,147,23.552169799804688,35.76982116699219,45.520450592041016,47.49902282663497
50,25,58,0.29998779296875,True,True,True,[55],[0.6933333],74,121,10.756735801696777,21.746009826660156,87,133,17.492145538330078,31.744564056396484,26.87589454650879,38.19126675050768
51,25,77,0.3000030517578125,True,False,True,[53],[0.5546875],75,75,20.395343780517578,20.395343780517578,79,124,20.83296012878418,33.310943603515625,25.206605911254883,40.395404025642755
52,26,40,0.29998779296875,True,True,True,[57 22],[0.66161615 0.00106129],151,151,40.23181915283203,40.23181915283203,173,178,39.364112854003906,39.937774658203125,49.72250747680664,44.74089280372429
53,27,118,0.29998779296875,True,True,True,[40 28],[8.7301588e-01 4.7326076e-04],121,121,39.517616271972656,39.517616271972656,115,115,32.3646354675293,32.3646354675293,48.83982467651367,40.14361936285211
54,28,21,0.29998779296875,True,True,True,[94  7],[0.9191919  0.00103986],96,96,22.730722427368164,22.730722427368164,94,94,21.116294860839844,21.116294860839844,28.0929012298584,26.030846399544345
55,28,26,0.89996337890625,True,False,True,[91],[0.86],93,93,15.340221405029297,15.340221405029297,93,93,18.386262893676758,18.386262893676758,18.958980560302734,29.436146328200337
