,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
0,0,25,0.5999908447265625,True,False,True,[57],[0.71153843],40,40,12.53095531463623,12.53095531463623,37,49,13.576510429382324,17.554288864135742,15.487008094787598,23.01705216427673
1,1,41,0.2999267578125,True,False,True,[105],[0.7125],126,126,25.40772819519043,25.40772819519043,148,148,31.942291259765625,31.942291259765625,31.401412963867188,44.41868159298755
2,1,111,0.29998779296875,True,True,True,[34 32],[0.7480916  0.00723589],117,117,27.894149780273438,27.894149780273438,112,112,22.02112579345703,22.02112579345703,34.47438049316406,23.27605972331468
3,2,24,inf,False,False,True,[74],[0.2189781],30,30,8.229632377624512,8.229632377624512,-1,-1,-1.0,-1.0,10.171003341674805,-1.0
4,3,10,0.9949975598122411,True,True,True,[42],[0.7037037],90,105,22.140090942382812,26.68974494934082,93,125,24.33940887451172,35.50560760498047,32.98585510253906,44.95093777244585
5,3,29,1.199981689453125,True,True,True,[37],[0.8490566],38,51,10.892664909362793,16.624767303466797,36,47,9.966252326965332,14.88894271850586,20.546550750732422,20.129176126364026
6,4,3,1.3416134908176134,True,True,True,[103],[0.7704918],37,56,12.59249496459961,19.89075469970703,32,52,14.641059875488281,21.483936309814453,24.582984924316406,26.24400476496823
7,4,12,inf,False,False,True,[81],[0.05882353],4,4,1.2666950225830078,1.2666950225830078,-1,-1,-1.0,-1.0,1.565508484840393,-1.0
8,4,62,0.29998779296875,True,False,True,[36],[0.3846154],26,26,6.192228317260742,6.192228317260742,-1,-1,-1.0,-1.0,7.652975082397461,-1.0
9,4,96,1.2369405696937397,True,False,True,[91],[0.8778626],119,119,29.28163719177246,29.28163719177246,127,127,28.534862518310547,28.534862518310547,36.189178466796875,48.22103861556101
10,5,0,0.3000030517578125,True,True,True,[59],[0.7987013],118,136,36.068668365478516,45.1375846862793,122,141,28.922122955322266,36.141517639160156,55.78554153442383,45.862723648992535
11,6,25,0.899993896484375,True,False,True,[52],[0.79591835],24,44,9.376556396484375,14.57888126373291,27,44,16.934886932373047,23.546981811523438,18.01803970336914,37.70338798044961
12,6,36,inf,False,False,True,[50],[0.05882353],5,5,1.4842867851257324,1.4842867851257324,-1,-1,-1.0,-1.0,1.8344300985336304,-1.0
13,6,41,0.9000040691253942,True,True,True,[64],[0.82954544],158,158,41.60914611816406,41.60914611816406,164,164,38.608970642089844,38.608970642089844,51.42474365234375,51.37497393840462
14,6,76,0.6708476895569263,True,False,True,[63],[0.71428573],80,94,19.812509536743164,23.325063705444336,111,122,28.222829818725586,30.17710304260254,28.82744789123535,46.50266848896188
