,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
20,11,61,0.3000030517578125,True,True,True,[67 68 69],[0.47651008 0.41935483 0.00262123],126,146,30.87894058227539,37.212406158447266,51.540400928400096
21,11,94,0.29998779296875,True,True,True,[70 71],[0.7        0.00646445],63,76,9.746184349060059,14.567654609680176,23.576974608784802
22,11,96,0.29999542236328125,True,True,True,[23 24],[0.75409836 0.00467687],34,117,7.935769081115723,29.358503341674805,33.70822038808276
23,11,115,0.29998779296875,True,True,True,[103 104 105],[0.34615386 0.08333334 0.00422535],24,24,6.3840484619140625,6.3840484619140625,6.563146911007774
24,12,66,0.4242575950931961,True,True,True,[66 67],[0.67391306 0.00414938],74,89,17.19967269897461,20.924802780151367,21.299635538618418
25,12,90,0.29998779296875,True,False,True,[103],[0.8129032],114,136,25.322160720825195,29.949871063232422,33.355625567621836
26,12,157,0.3000030517578125,True,True,True,[130 131],[0.8613861 0.0034965],163,195,35.483543395996094,44.60828399658203,51.35454097714248
27,13,74,0.3000030517578125,True,True,True,[27 28],[0.71707314 0.01465614],185,185,42.87095642089844,42.87095642089844,49.051959452692714
28,13,84,0.2999267578125,True,True,True,[29 31],[0.8552632  0.00196541],146,146,34.301910400390625,34.301910400390625,38.46289822637942
29,14,96,0.29998779296875,True,True,True,[98 99],[0.75268817 0.00956938],69,83,20.70442771911621,25.452653884887695,33.05657721638933
30,14,98,0.29998779296875,True,True,True,[57 61],[0.8        0.00150875],56,56,10.612672805786133,10.612672805786133,16.21628649856095
31,16,32,0.29998779296875,False,True,True,[31],[0.8121212],141,152,26.45260238647461,29.939472198486328,36.274898083231115
32,16,47,0.29998779296875,True,True,True,[108 109],[0.5958904  0.01153505],132,132,22.429088592529297,22.429088592529297,36.74571404718692
33,16,78,0.29999542236328125,True,True,True,[35],[0.91156465],100,139,29.904428482055664,39.405853271484375,45.28177074715256
34,17,46,0.29998779296875,True,True,True,[71],[0.9433962],52,52,11.238077163696289,11.238077163696289,20.713131555912625
35,18,50,0.29998779296875,True,False,True,[12 13],[0.2857143  0.16867469],21,21,6.270888328552246,6.270888328552246,31.93550308391107
36,18,61,0.29998779296875,True,True,True,[37 38],[0.63380283 0.02702703],62,62,12.580289840698242,12.580289840698242,17.223432048594702
37,18,63,0.3000030517578125,True,True,True,[4 6],[0.7358491  0.00143609],64,189,14.567239761352539,43.3196907043457,50.9812711759048
38,19,56,0.29998779296875,True,True,True,[23  2 24],[0.6503497  0.08396947 0.00841622],116,131,25.536727905273438,29.98088836669922,36.634138228494585
39,19,91,0.29998779296875,True,True,True,[25 26],[0.67741936 0.01966874],88,88,21.45269012451172,21.45269012451172,22.275702221206675
40,19,101,0.29998779296875,True,True,True,[97],[0.8429752],112,112,20.523509979248047,20.523509979248047,22.456631724045646
41,20,37,0.2999267578125,True,True,True,[19 20],[0.7804878  0.01011804],68,79,31.317249298095703,34.92927932739258,44.83785720523695
42,20,72,inf,False,False,True,[6],[0.29032257],16,16,5.0826897621154785,5.0826897621154785,48.35224159134449
43,21,51,0.29998779296875,True,True,True,[65],[0.8701299],218,218,40.237022399902344,40.237022399902344,43.04325162747457
44,21,99,0.3000030517578125,True,True,True,[12 15],[0.7222222  0.00812065],17,72,4.549496173858643,18.26162338256836,23.337962829987042
45,22,86,0.2999267578125,True,True,True,[84 86],[0.82978725 0.00136612],105,129,30.7042293548584,37.11372756958008,41.63604382550533
46,23,25,0.5999755859375,True,True,True,[74],[0.8],81,109,19.71326446533203,29.462244033813477,36.4594546078586
47,23,39,inf,False,False,True,[71],[0.68],22,22,7.157694339752197,7.157694339752197,42.581752962255315
